data_json_filename, dataset_count
2014bonds.cityofws.org.data.json, 4
bchi.bigcitieshealth.org.data.json, 1
bea.data.commerce.gov.data.json, 5
bis.data.commerce.gov.data.json, 2
brigades.opendatanetwork.com.data.json, 363
bronx.lehman.cuny.edu.data.json, 311
bythenumbers.sco.ca.gov.data.json, 74
cdph.data.ca.gov.data.json, 83
census.data.commerce.gov.data.json, 213
chhs.data.ca.gov.data.json, 63
chronicdata.cdc.gov.data.json, 99
controllerdata.lacity.org.data.json, 63
dashboard.edmonton.ca.data.json, 98
dashboard.hawaii.gov.data.json, 292
dashboard.plano.gov.data.json, 34
data.acgov.org.data.json, 141
data.albanyny.gov.data.json, 15
data.alexandriava.gov.data.json, 49
data.atf.gov.data.json, 178
data.auburnwa.gov.data.json, 10
data.austintexas.gov.data.json, 555
data.awcnet.org.data.json, 35
data.baltimorecity.gov.data.json, 337
data.brla.gov.data.json, 27
data.burlingtonvt.gov.data.json, 24
data.cambridgema.gov.data.json, 116
data.cdc.gov.data.json, 206
data.cese.nsw.gov.au.data.json, 74
data.chattlibrary.org.data.json, 158
data.cic.mx.data.json, 89
data.cincinnati-oh.gov.data.json, 24
data.cityofberkeley.info.data.json, 41
data.cityofboston.gov.data.json, 363
data.cityofchicago.org.data.json, 583
data.cityofgainesville.org.data.json, 75
data.cityofgp.com.data.json, 58
data.cityofmadison.com.data.json, 50
data.cityofnewyork.us.data.json, 1361
data.cityoftacoma.org.data.json, 73
data.cityofwestsacramento.org.data.json, 62
data.cms.gov.data.json, 113
data.code4sa.org.data.json, 39
data.colorado.gov.data.json, 493
data.commerce.gov.data.json, 402
data.consumerfinance.gov.data.json, 6
data.countyofriverside.us.data.json, 26
data.ct.gov.data.json, 307
data.culvercity.org.data.json, 21
data.danvilleva.gov.data.json, 7
data.datamontana.us.data.json, 57
data.dcpcsb.org.data.json, 44
data.debtwatch.treasurer.ca.gov.data.json, 72
data.detroitmi.gov.data.json, 80
data.douglas.co.us.data.json, 8
data.edmonton.ca.data.json, 367
data.energystar.gov.data.json, 53
data.exim.gov.data.json, 2
data.fortworthtexas.gov.data.json, 11
data.ftb.ca.gov.data.json, 36
data.govloop.com.data.json, 72
data.greensboro-nc.gov.data.json, 7
data.hampton.gov.data.json, 37
data.hartford.gov.data.json, 46
data.hawaii.gov.data.json, 438
data.honolulu.gov.data.json, 107
data.iae.alberta.ca.data.json, 36
data.illinois.gov.data.json, 589
data.imls.gov.data.json, 15
data.indy.gov.data.json, 9
data.iowa.gov.data.json, 203
data.kcmo.org.data.json, 3508
data.kingcounty.gov.data.json, 227
data.lacity.org.data.json, 295
data.lacounty.gov.data.json, 110
data.livewellsd.org.data.json, 280
data.maine.gov.data.json, 16
data.maryland.gov.data.json, 769
data.mass.gov.data.json, 50
data.medicare.gov.data.json, 93
data.melbourne.vic.gov.au.data.json, 77
data.menlopark.org.data.json, 6
data.michigan.gov.data.json, 79
data.mo.gov.data.json, 345
data.monroecounty-fl.gov.data.json, 8
data.montgomeryal.gov.data.json, 3
data.montgomerycountymd.gov.data.json, 109
data.montgomeryschoolsmd.org.data.json, 15
data.murphytx.org.data.json, 19
data.nashville.gov.data.json, 32
data.nccde.org.data.json, 40
data.nfpa.org.data.json, 9
data.nj.gov.data.json, 139
data.nlc.org.data.json, 63
data.nola.gov.data.json, 151
data.norfolk.gov.data.json, 6
data.ny.gov.data.json, 484
data.oaklandnet.com.data.json, 209
data.olatheks.org.data.json, 14
data.opendatanetwork.com.data.json, 294
data.oregon.gov.data.json, 451
data.oxnard.org.data.json, 6
data.phila.gov.data.json, 65
data.policefoundation.org.data.json, 48
data.pr.gov.data.json, 192
data.princegeorgescountymd.gov.data.json, 32
data.providenceri.gov.data.json, 138
data.raleighnc.gov.data.json, 190
data.readingpa.gov.data.json, 1333
data.redmond.gov.data.json, 13
data.rentonwa.gov.data.json, 15
data.results.wa.gov.data.json, 427
data.richmondgov.com.data.json, 33
data.roseville.ca.us.data.json, 16
data.rutlandcitypolice.com.data.json, 2
data.seattle.gov.data.json, 295
data.sfgov.org.data.json, 403
data.smcgov.org.data.json, 192
data.smgov.net.data.json, 33
data.somervillema.gov.data.json, 23
data.sonomacounty.ca.gov.data.json, 12
data.southbendin.gov.data.json, 74
data.srcity.org.data.json, 24
data.strathcona.ca.data.json, 125
data.sunlightlabs.com.data.json, 317
data.sunshinecoast.qld.gov.au.data.json, 45
data.sustainablesm.org.data.json, 68
data.texas.gov.data.json, 64
data.tol.ca.data.json, 94
data.topeka.org.data.json, 20
data.undp.org.data.json, 29
data.urbanaillinois.us.data.json, 14
data.vermont.gov.data.json, 26
data.vta.org.data.json, 16
data.wa.gov.data.json, 278
data.waterpointdata.org.data.json, 3
data.weho.org.data.json, 13
data.wellingtonfl.gov.data.json, 19
data.winnipeg.ca.data.json, 71
databox.worldbank.org.data.json, 35
datacatalog.cookcountyil.gov.data.json, 339
datapoints.dallascityhall.com.data.json, 43
eda.data.commerce.gov.data.json, 1
electionsdata.kingcounty.gov.data.json, 60
finances.worldbank.org.data.json, 182
greengov.data.ca.gov.data.json, 33
health.data.ny.gov.data.json, 192
healthdata.nj.gov.data.json, 46
hsmp-data.aspe.hhs.gov.data.json, 391
idp.nz.data.json, 6
impact.glispa.org.data.json, 9
ita.data.commerce.gov.data.json, 31
kcstat.kcmo.org.data.json, 89
landslide.data.nasa.gov.data.json, 1
mayorbudget.miamidade.gov.data.json, 3
midashboard.michigan.gov.data.json, 64
mydata.iadb.org.data.json, 54
nist.data.commerce.gov.data.json, 9
noaa.data.commerce.gov.data.json, 18
ntia.data.commerce.gov.data.json, 31
ntis.data.commerce.gov.data.json, 1
open.whitehouse.gov.data.json, 24
opencheckbook.data.somervillema.gov.data.json, 2
opendata.american.edu.data.json, 4
opendata.cityofhenderson.com.data.json, 3
opendata.howardcountymd.gov.data.json, 94
opendata.lasvegasnevada.gov.data.json, 43
opendata.miamidade.gov.data.json, 13
opendata.sreb.org.data.json, 8
opendata.utah.gov.data.json, 1729
outcomestat.baltimorecity.gov.data.json, 94
performance.action.act.gov.au.data.json, 16
performance.alexandriava.gov.data.json, 6
performance.chattanooga.gov.data.json, 65
performance.cityofrc.us.data.json, 15
performance.cookcountyil.gov.data.json, 21
performance.danvilleva.gov.data.json, 8
performance.glendaleca.gov.data.json, 22
performance.kingcounty.gov.data.json, 71
performance.lacity.org.data.json, 114
performance.louisvilleky.gov.data.json, 22
performance.reno.gov.data.json, 17
performance.seattle.gov.data.json, 167
performance.smcgov.org.data.json, 391
permits.partner.socrata.com.data.json, 12
reportcard.santamonicayouth.net.data.json, 3
reports.awcnet.org.data.json, 1
reports.data.montgomerycountymd.gov.data.json, 470
results.livewellsd.org.data.json, 9
results.nola.gov.data.json, 13
sdotperformance.seattle.gov.data.json, 97
stat.cityofgainesville.org.data.json, 68
uspto.data.commerce.gov.data.json, 40
www.aercdevdata.org.data.json, 0
www.criminalytics.org.data.json, 2
www.dallasopendata.com.data.json, 43
www.data.act.gov.au.data.json, 108
www.datossct.gob.mx.data.json, 48
www.metrochicagodata.org.data.json, 1
www.opendata.go.ke.data.json, 360
www.opendatanyc.com.data.json, 469
www.pipadados.com.data.json, 7